cdate,cp,pctlead,pred_linr,pred_logr
2016-01-04,2012.660000,0.201200,0.138808,0.522023
2016-01-05,2016.710000,-1.311500,0.082992,0.525085
2016-01-06,1990.260000,-2.370000,0.134576,0.534962
2016-01-07,1943.090000,-1.083800,0.267443,0.571493
2016-01-08,1922.030000,0.085300,0.337749,0.598428
2016-01-11,1923.670000,0.780300,0.150098,0.561303
2016-01-12,1938.680100,-2.496500,0.156455,0.553038
2016-01-13,1890.280000,1.669600,0.263656,0.578605
2016-01-14,1921.840000,-2.159900,0.203708,0.580845
2016-01-15,1880.330000,0.053200,0.113061,0.577887
2016-01-19,1881.330000,-1.169400,0.184140,0.574325
2016-01-20,1859.330000,0.519500,0.213103,0.551596
2016-01-21,1868.990000,2.028400,0.005139,0.526787
2016-01-22,1906.900000,-1.563800,0.068600,0.526959
2016-01-25,1877.080000,1.414400,-0.049505,0.502767
2016-01-26,1903.630000,-1.086300,0.212138,0.557874
2016-01-27,1882.950000,0.552900,-0.081520,0.509865
2016-01-28,1893.360000,2.476000,0.029877,0.530210
2016-01-29,1940.240000,-0.044300,-0.150116,0.459622
2016-02-01,1939.380000,-1.874300,-0.190978,0.445271
2016-02-02,1903.030000,0.499200,0.243517,0.551556
2016-02-03,1912.530000,0.152700,-0.044115,0.503750
2016-02-04,1915.450000,-1.848100,-0.064641,0.499540
2016-02-05,1880.050000,-1.415400,0.074950,0.518892
2016-02-08,1853.439900,-0.066400,0.253303,0.533249
2016-02-09,1852.210000,-0.018900,0.135843,0.537675
2016-02-10,1851.860000,-1.230100,0.101288,0.545138
2016-02-11,1829.080000,1.951800,0.173074,0.551301
2016-02-12,1864.780000,1.651700,0.077266,0.532863
2016-02-16,1895.580000,1.648000,-0.081755,0.503567
2016-02-17,1926.819900,-0.466600,-0.117320,0.496647
2016-02-18,1917.830000,-0.002600,-0.018978,0.507341
2016-02-19,1917.780000,1.445400,-0.072623,0.509335
2016-02-22,1945.500000,-1.245400,-0.112322,0.474375
2016-02-23,1921.270000,0.444000,-0.139965,0.455330
2016-02-24,1929.800000,1.134800,0.052651,0.482653
2016-02-25,1951.700000,-0.187000,-0.154279,0.451968
2016-02-26,1948.050000,-0.812100,-0.086163,0.490717
2016-02-29,1932.230000,2.386900,0.121385,0.518947
2016-03-01,1978.350000,0.409400,-0.129180,0.466241
2016-03-02,1986.450000,0.349900,-0.120381,0.476483
2016-03-03,1993.400000,0.330600,-0.065540,0.486831
2016-03-04,1999.990000,0.088500,-0.050636,0.485076
2016-03-07,2001.760000,-1.124000,-0.084150,0.485396
2016-03-08,1979.260000,0.505200,0.070701,0.514306
2016-03-09,1989.260000,0.015600,-0.051136,0.477045
2016-03-10,1989.569900,1.639600,-0.006471,0.488642
2016-03-11,2022.189900,-0.126100,-0.110326,0.476667
2016-03-14,2019.640000,-0.183700,-0.001994,0.486996
2016-03-15,2015.930100,0.560000,0.026639,0.513879
2016-03-16,2027.220000,0.659500,0.016161,0.514441
2016-03-17,2040.590000,0.440600,-0.158757,0.476527
2016-03-18,2049.580100,0.098600,-0.038504,0.487111
2016-03-21,2051.600100,-0.087700,-0.049754,0.472093
2016-03-22,2049.800000,-0.638600,0.018942,0.500780
2016-03-23,2036.710000,-0.037800,0.013887,0.510476
2016-03-24,2035.939900,0.054500,0.011590,0.505687
2016-03-28,2037.050000,0.881700,0.029034,0.494212
2016-03-29,2055.010000,0.435000,-0.015240,0.488584
2016-03-30,2063.950000,-0.204000,-0.018558,0.494195
2016-03-31,2059.740000,0.633100,0.007166,0.513655
2016-04-01,2072.780000,-0.320800,-0.008269,0.514331
2016-04-04,2066.129900,-1.014400,-0.019777,0.498603
2016-04-05,2045.170000,1.050800,0.098438,0.520880
2016-04-06,2066.659900,-1.197600,-0.000481,0.492780
2016-04-07,2041.910000,0.278700,0.005050,0.503815
2016-04-08,2047.600000,-0.274000,0.093908,0.528020
2016-04-11,2041.990000,0.966200,0.064846,0.507658
2016-04-12,2061.720000,1.004000,-0.003302,0.507703
2016-04-13,2082.419900,0.017300,-0.000707,0.501485
2016-04-14,2082.780000,-0.098400,-0.085787,0.490627
2016-04-15,2080.730000,0.654100,0.076368,0.529829
2016-04-18,2094.340100,0.308400,-0.077388,0.487596
2016-04-19,2100.800000,0.076200,-0.041784,0.487046
2016-04-20,2102.399900,-0.519400,-0.038771,0.481242
2016-04-21,2091.480000,0.004800,0.017785,0.497637
2016-04-22,2091.580100,-0.181200,0.004086,0.509389
2016-04-25,2087.790000,0.187300,0.036477,0.504136
2016-04-26,2091.700000,0.164900,0.020714,0.498788
2016-04-27,2095.149900,-0.923100,0.036669,0.503691
2016-04-28,2075.810100,-0.506300,0.065872,0.524839
2016-04-29,2065.300000,0.781000,0.119498,0.544147
2016-05-02,2081.429900,-0.867700,0.028056,0.507515
2016-05-03,2063.370100,-0.593700,0.073796,0.518007
2016-05-04,2051.120100,-0.023900,0.164200,0.538545
2016-05-05,2050.629900,0.317500,0.084592,0.529074
2016-05-06,2057.139900,0.075300,0.016591,0.526132
2016-05-09,2058.689900,1.248400,0.091231,0.519109
2016-05-10,2084.389900,-0.956200,-0.017324,0.493184
2016-05-11,2064.460000,-0.016900,0.066596,0.524746
2016-05-12,2064.110100,-0.847800,0.064409,0.533576
2016-05-13,2046.610000,0.979700,0.051777,0.525046
2016-05-16,2066.659900,-0.941100,-0.003333,0.496019
2016-05-17,2047.210000,0.020500,0.091550,0.507951
2016-05-18,2047.630000,-0.370700,0.057704,0.512348
2016-05-19,2040.040000,0.602000,0.127206,0.535563
2016-05-20,2052.320100,-0.208500,-0.047469,0.512528
2016-05-23,2048.040000,1.368100,0.120524,0.522153
2016-05-24,2076.060100,0.697500,-0.055969,0.487065
2016-05-25,2090.540000,-0.021000,-0.016771,0.497221
2016-05-26,2090.100100,0.428700,-0.064951,0.498977
2016-05-27,2099.060100,-0.100500,-0.001198,0.506782
2016-05-31,2096.950000,0.113500,-0.076985,0.483413
2016-06-01,2099.330100,0.282500,0.010902,0.496039
2016-06-02,2105.260000,-0.291200,-0.061157,0.475523
2016-06-03,2099.129900,0.489700,-0.008974,0.494185
2016-06-06,2109.409900,0.128900,0.038207,0.497114
2016-06-07,2112.129900,0.331000,-0.018395,0.490925
2016-06-08,2119.120100,-0.171800,0.009024,0.501623
2016-06-09,2115.480000,-0.917500,0.015259,0.505402
2016-06-10,2096.070100,-0.811500,0.049344,0.521769
2016-06-13,2079.060100,-0.179900,0.157614,0.532854
2016-06-14,2075.320100,-0.184100,0.072743,0.515090
2016-06-15,2071.500000,0.313300,0.091240,0.517423
2016-06-16,2077.990000,-0.325800,0.069709,0.515981
2016-06-17,2071.220000,0.580800,0.082005,0.530685
2016-06-20,2083.250000,0.271200,0.089685,0.529321
2016-06-21,2088.899900,-0.165200,0.031202,0.517579
2016-06-22,2085.450000,1.336400,0.031810,0.517044
2016-06-23,2113.320100,-3.592000,-0.018625,0.498397
2016-06-24,2037.410000,-1.809700,0.112476,0.540422
2016-06-27,2000.540000,1.777000,0.375675,0.587921
2016-06-28,2036.090000,1.703300,0.027386,0.501162
2016-06-29,2070.770000,1.356500,-0.153815,0.461284
2016-06-30,2098.860100,0.194900,0.059295,0.493786
2016-07-01,2102.950000,-0.684700,-0.043821,0.501389
2016-07-05,2088.550000,0.535300,0.121283,0.565929
2016-07-06,2099.730000,-0.087200,-0.054565,0.518517
2016-07-07,2097.899900,1.525300,-0.107511,0.466733
2016-07-08,2129.899900,0.340900,-0.091949,0.451397
2016-07-11,2137.159900,0.700900,-0.073036,0.450402
2016-07-12,2152.139900,0.013500,-0.050584,0.480275
2016-07-13,2152.429900,0.525900,-0.013608,0.497559
2016-07-14,2163.750000,-0.092900,-0.111018,0.481307
2016-07-15,2161.740000,0.238200,-0.023542,0.490294
2016-07-18,2166.889900,-0.143500,-0.048939,0.469835
2016-07-19,2163.780000,0.427000,0.036797,0.490075
2016-07-20,2173.020000,-0.361300,-0.039662,0.484775
2016-07-21,2165.169900,0.455400,0.030438,0.503505
2016-07-22,2175.030000,-0.301100,-0.019956,0.499253
2016-07-25,2168.480000,0.032300,0.062601,0.504466
2016-07-26,2169.179900,-0.119900,0.035537,0.506699
2016-07-27,2166.580100,0.160600,0.066840,0.512630
2016-07-28,2170.060100,0.163100,-0.004283,0.503871
2016-07-29,2173.600100,-0.127000,0.037541,0.512582
2016-08-01,2170.840100,-0.636200,0.039733,0.502336
2016-08-02,2157.030000,0.313400,0.122793,0.525397
2016-08-03,2163.790000,0.021300,0.046396,0.513767
2016-08-04,2164.250000,0.860300,0.022494,0.508269
2016-08-05,2182.870100,-0.090700,-0.016031,0.498978
2016-08-08,2180.889900,0.039000,0.046539,0.499157
2016-08-09,2181.740000,-0.286500,0.046938,0.512129
2016-08-10,2175.490000,0.473500,0.064153,0.519294
2016-08-11,2185.790000,-0.079600,-0.032181,0.498517
2016-08-12,2184.050000,0.279300,0.014695,0.501476
2016-08-15,2190.149900,-0.547900,0.020058,0.490384
2016-08-16,2178.149900,0.186900,0.090054,0.512533
2016-08-17,2182.220000,0.220000,0.032802,0.511294
2016-08-18,2187.020000,-0.144000,0.024966,0.507395
2016-08-19,2183.870100,-0.056300,-0.002913,0.504360
2016-08-22,2182.639900,0.195200,0.110247,0.513379
2016-08-23,2186.899900,-0.524000,0.022618,0.503592
2016-08-24,2175.439900,-0.136500,0.080155,0.521491
2016-08-25,2172.470000,-0.157900,0.065641,0.518913
2016-08-26,2169.040000,0.522800,0.048170,0.515878
